region,date,age,num_tests,obs_positives
North_East_England,2020-06-29,"(70,Inf]",35,0
North_East_England,2020-06-30,"(0,11]",6,0
North_East_England,2020-06-30,"(11,16]",7,0
North_East_England,2020-06-30,"(16,25]",7,0
North_East_England,2020-06-30,"(25,50]",31,0
North_East_England,2020-06-30,"(50,70]",69,0
North_East_England,2020-06-30,"(70,Inf]",27,0
North_East_England,2020-07-01,"(0,11]",17,0
North_East_England,2020-07-01,"(11,16]",8,0
North_East_England,2020-07-01,"(16,25]",9,0
North_East_England,2020-07-01,"(25,50]",40,0
North_East_England,2020-07-01,"(50,70]",48,0
North_East_England,2020-07-01,"(70,Inf]",22,0
North_East_England,2020-07-02,"(0,11]",15,0
North_East_England,2020-07-02,"(11,16]",5,0
North_East_England,2020-07-02,"(16,25]",6,0
North_East_England,2020-07-02,"(25,50]",45,0
North_East_England,2020-07-02,"(50,70]",49,0
North_East_England,2020-07-02,"(70,Inf]",37,0
North_East_England,2020-07-03,"(0,11]",27,0
North_East_England,2020-07-03,"(11,16]",13,0
North_East_England,2020-07-03,"(16,25]",10,0
North_East_England,2020-07-03,"(25,50]",61,0
North_East_England,2020-07-03,"(50,70]",79,0
North_East_England,2020-07-03,"(70,Inf]",36,0
North_East_England,2020-07-04,"(0,11]",16,0
North_East_England,2020-07-04,"(11,16]",12,0
North_East_England,2020-07-04,"(16,25]",5,0
North_East_England,2020-07-04,"(25,50]",55,0
North_East_England,2020-07-04,"(50,70]",53,0
North_East_England,2020-07-04,"(70,Inf]",33,0
North_East_England,2020-07-05,"(0,11]",24,0
North_East_England,2020-07-05,"(11,16]",17,0
North_East_England,2020-07-05,"(16,25]",13,0
North_East_England,2020-07-05,"(25,50]",53,0
North_East_England,2020-07-05,"(50,70]",69,0
North_East_England,2020-07-05,"(70,Inf]",20,0
North_East_England,2020-07-06,"(0,11]",8,0
North_East_England,2020-07-06,"(11,16]",10,0
North_East_England,2020-07-06,"(16,25]",10,0
North_East_England,2020-07-06,"(25,50]",35,0
North_East_England,2020-07-06,"(50,70]",63,0
North_East_England,2020-07-06,"(70,Inf]",34,0
North_East_England,2020-07-07,"(0,11]",4,0
North_East_England,2020-07-07,"(11,16]",7,0
North_East_England,2020-07-07,"(16,25]",14,1
North_East_England,2020-07-07,"(25,50]",45,0
North_East_England,2020-07-07,"(50,70]",70,0
North_East_England,2020-07-07,"(70,Inf]",26,0
North_East_England,2020-07-08,"(0,11]",26,0
North_East_England,2020-07-08,"(11,16]",13,0
North_East_England,2020-07-08,"(16,25]",4,0
North_East_England,2020-07-08,"(25,50]",52,0
North_East_England,2020-07-08,"(50,70]",67,0
North_East_England,2020-07-08,"(70,Inf]",27,0
North_East_England,2020-07-09,"(0,11]",17,0
North_East_England,2020-07-09,"(11,16]",6,0
North_East_England,2020-07-09,"(16,25]",16,0
North_East_England,2020-07-09,"(25,50]",43,0
North_East_England,2020-07-09,"(50,70]",64,0
North_East_England,2020-07-09,"(70,Inf]",37,0
North_East_England,2020-07-10,"(0,11]",26,0
North_East_England,2020-07-10,"(11,16]",13,0
North_East_England,2020-07-10,"(16,25]",11,0
North_East_England,2020-07-10,"(25,50]",61,0
North_East_England,2020-07-10,"(50,70]",81,0
North_East_England,2020-07-10,"(70,Inf]",29,0
North_East_England,2020-07-11,"(0,11]",18,0
North_East_England,2020-07-11,"(11,16]",6,0
North_East_England,2020-07-11,"(16,25]",5,0
North_East_England,2020-07-11,"(25,50]",50,0
North_East_England,2020-07-11,"(50,70]",57,0
North_East_England,2020-07-11,"(70,Inf]",34,0
North_East_England,2020-07-12,"(0,11]",19,0
North_East_England,2020-07-12,"(11,16]",11,0
North_East_England,2020-07-12,"(16,25]",9,0
North_East_England,2020-07-12,"(25,50]",44,0
North_East_England,2020-07-12,"(50,70]",67,0
North_East_England,2020-07-12,"(70,Inf]",19,0
North_East_England,2020-07-13,"(0,11]",5,0
North_East_England,2020-07-13,"(11,16]",8,0
North_East_England,2020-07-13,"(16,25]",4,0
